emissions_id,actor_id,year,total_emissions,methodology_id,datasource_id
GCoMEC:AT0003:2013.0,AT-BRZ,2013,137075,GCoMEC:methodology,GCoMEC:v2
GCoMEC:AT0007:2015.0,AT-JDN,2015,60455,GCoMEC:methodology,GCoMEC:v2
GCoMEC:AT0013:2014.0,AT-LXE,2014,19647,GCoMEC:methodology,GCoMEC:v2
GCoMEC:AT0008:2019.0,AT-WEZ,2019,101534,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BA0011:2020.0,BA-BHC,2020,85616,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BA0004:2020.0,BA-BJA,2020,218566,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BA0002:2015.0,BA-BNX,2015,688894,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BA0013:2006.0,BA-C6G,2006,179418,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BA0008:2020.0,BA-DBJ,2020,189316,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2020.0,BA-LKV,2020,154017,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2020.0,BA-SMT,2020,43635,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BA0018:2015.0,BA-TBJ,2015,126670,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BA0003:2020.0,BA-TZL,2020,246010,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BA0009:2020.0,BA-ZNK,2020,78410,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2017.0,BE-AAB,2017,402247,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0049:2018.0,BE-AES,2018,152028,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0180:2014.0,BE-AKN,2014,76492,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0061:2012.0,BE-ANS,2012,185549,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0230:2014.0,BE-ASS,2014,18303,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0258:2012.0,BE-ATE,2012,25230,GCoMEC:methodology,GCoMEC:v2
GCoMH:BE0465:2006.0,BE-ATH,2006,158601,GCoMH:methodology,GCoMH:2021
GCoMEC:BE0465:2014.0,BE-ATH,2014,158601,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0317:2014.0,BE-ATO,2014,62320,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0266:2014.0,BE-AUL,2014,36638,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2014.0,BE-AYW,2014,62347,GCoMEC:methodology,GCoMEC:v2
GCoMH:BE0290:2006.0,BE-BCO,2006,204077,GCoMH:methodology,GCoMH:2021
GCoMEC:BE0290:2014.0,BE-BCO,2014,204077,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0074:2017.0,BE-BEE,2017,111990,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0197:2018.0,BE-BGY,2018,40388,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0202:2017.0,BE-BKE,2017,42427,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0246:2018.0,BE-BKO,2018,39060,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0467:2014.0,BE-BLC,2014,43953,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0053:2014.0,BE-BLZ,2014,143313,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0173:2018.0,BE-BMB,2018,54536,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0191:2014.0,BE-BOG,2014,40327,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0276:2017.0,BE-BRD,2017,19965,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0248:2014.0,BE-BRS,2014,31226,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0104:2013.0,BE-BSS,2013,104164,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0203:2018.0,BE-BTM,2018,81651,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0227:2018.0,BE-BUM,2018,32027,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0051:2012.0,BE-CCS,2012,175924,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0098:2013.0,BE-CFA,2013,76787,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0097:2014.0,BE-CFO,2014,111538,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0031:2017.0,BE-DBK,2017,292301,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0137:2014.0,BE-DIS,2014,67886,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0194:2018.0,BE-DPE,2018,34961,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0112:2014.0,BE-DPK,2014,76908,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0105:2014.0,BE-DSO,2014,45913,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2014.0,BE-DVI,2014,6752,GCoMEC:methodology,GCoMEC:v2
